Z ID,SMILES,RT,ECP
Z9061923180,CN1C(=O)N(C=2C=CC=CC12)S(=O)(=O)C(F)(F)F,1.3329,1.3084
Z1262246221,Cl.Cl.NCC1(CCOCC1)N2CCCCC2,0.1805,1.2942
Z1269153964,ClC=1C=CC=2C(I)=NNC2N1,1.032,1.1541
Z1198165199,COC=1C=CC=2N=C(C)C(C)(C)C2C1,0.8894,1.2786
Z9043548248,Cl.CC=1C=CC=CC1C[C@@H](N)CO,0.5323,1.1503
Z1259204787,CC(=O)C=1C=C(SC1N)C=2C=CC=CC2,1.2988,1.2786
Z445213520,COC=1C=CC=C2C(Cl)=CC(C)=NC12,0.9912,1.2372
Z3153427781,Cl.Cl.CN1C2CC1CNC2,0.0942,0.954
Z3041537109,NC=1N=C(OCC=2C=CC=CC2)C=3NC=NC3N1,0.8658,1.3252
Z33546498,NC(=O)C=1C=CC=CC1F,0.7638,1.3343
Z800222640,OC(=O)CC1=CSC=N1,0.5837,1.361
Z1269242031,NC=1C(O)=CC=C(Br)C1F,0.8604,1.146
Z2327691148,ClC1=CN(N=N1)C=2C=CC(Cl)=CC2Br,1.2495,1.1787
Z2756516873,Cl.C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)C=4C(O)=CC=CC14)O)O,0.6489,1.4881
Z56066735,O=C(NC(=S)NC=1C=CC=CN1)C=2C=CC=CC2,1.1573,1.1698
Z1227760621,IC=1C=NN(C1)C2CCCC2,1.3089,1.2354
Z1269156557,COC(=O)C=1C=CC(CC(=S)N)=CC1,0.6168,0.8807
Z2508929214,NC=1C=CC=2C(=O)N(CC2C1)C3CCC(=O)NC3=O,0.5358,1.1692
Z56921134,CC(Cl)C(=O)N(C)C1CCCCC1,1.3642,1.3674
Z1182328284,OC=1C=CC(=CC1)N2C=CC=N2,0.8422,1.2169
Z1198233610,Nc1ncnc2CNCc12,0.1218,1.2896
Z1459956765,Cl.CC1CCN(CCC(=O)O)CC1,0.2508,1.1163
Z8856570189,Cl.OC(=O)C(F)OC=1C=NC=C(Br)C1,0.9708,1.2415
Z1269212493,NC(=O)C=1C=CC=C(Cl)C1[N+](=O)[O-],0.8686,1.2717
Z2588038919,COCCOC=1C=C2N=CN=C(NC=3C=CC=C(C#C)C3)C2=CC1OCCOC,0.9842,1.2509
Z1171978830,Cl.CC1=NC=CN1CC(=O)O,0.1433,1.3194
Z335443480,FC=1C=CC=2NC=3CCNCC3C2C1,0.4696,1.1932
Z955123484,CC1=NN=C2C=CC(=CN12)C(=O)O,0.5722,1.3147
Z1198150620,C1=CSC(=N1)C=2C=CNN2,0.6039,1.1481
Z55993031,CC=1OC(=NC1C(=O)O)C=2C=CC=CC2,1.1071,1.3073
Z1255464644,CC=1C=NC=C(CCC(=O)O)C1,0.33,1.3147
Z8757498242,Cl.Cl.CNC1CCC=2C=CC=NC2C1,0.1589,1.3316
Z56823004,OC(=O)CCC1=NNC(S)=NC1=O,0.4203,1.2544
Z7991142061,Cl.OC(=O)[C@H]1CCC[C@H](N1)C(=O)O,0.1849,1.2552
Z1201619510,CN1C=2CCCC(=O)C2C=3C=CC=CC13,0.9581,1.0731
Z1198278044,CNC=1C=CN=C(Cl)C1,0.4234,1.3275
Z4201724375,C1CC1N2C=C3CNCCC3=N2,0.2111,1.2842
Z1033258282,NCC(O)CCC=1C=CC=CC1,0.709,1.3148
Z1255460752,OC(=O)C=1C=CC=C(N1)C(F)F,0.7997,1.328
Z3244871626,Cl.N[C@H](CO)CC=1C=CC(Br)=CC1,0.7863,1.3287
Z2375633760,Cl.CC=1C=C(C=CC1N)C(F)(F)F,1.2682,1.2964
Z239123020,CC=1C=CC(N)=CC1NS(=O)(=O)C,0.274,1.299
Z1262677714,NC=1C=CC=2NC(=O)OCC2C1,0.1818,1.315
Z57683679,CC1=NNC(N)=C1C=2C=CC=CC2,0.5345,1.047
Z8587609320,Cl.Cl.CN(C)C=1C=C(Cl)C=CC1N,0.827,1.1261
Z1222278659,CC(C)C=1NN=C(C(=O)O)C1Br,0.9737,1.2602
Z3225754851,COC(C(=O)O)C(=O)NC=1C=C(Cl)C=C(Cl)C1,1.0998,1.1851
Z1203585248,N[C@H]1C[C@@H](CO)C1,0.1424,1.1636
Z57044231,COC=1C=C(OC)C(=CC1Cl)N2CC(CC2=O)C(=O)O,1.0124,1.3297
Z1457921102,Cl.CN(C(=O)C1CCNC1)C=2C=CC=CC2,0.6788,1.2598
Z1269123358,NC=1N=C(C=CC1Br)C(=O)O,0.4411,1.0884
Z3888385430,Cl.COC(=O)C1(CC=2C=CC=C(Br)C2)CCNC1,0.6345,1.0336
Z1198152178,COC(=O)C=1C=CC(O)=C(F)C1,1.0281,1.3333
Z1201620447,CC1=NC(=CS1)C=2C=CC=CC2O,1.2726,1.2318
Z2732468553,CN1N=CC(CN)=C1C(=O)O,0.1883,1.171
Z2306832312,"Cl.N[C@@H]1CCC[C@@H]1C(=O)O |&1:2,6,r|",0.2051,1.3267
Z4453892713,Cl.Cl.NCCC=1C=CN=C(Br)C1,0.3735,1.3086
Z147642734,Cl.O=C(C1CCNCC1)N2CCOCC2,0.2245,1.2933
Z1259173742,CNC=1C=C(Br)C=CC1[N+](=O)[O-],1.384,1.3103
Z3634948443,Cl.Cl.CNC(=O)N1CCC(N)CC1,0.137,1.1035
Z1341370198,CC(=O)C=1C=CC(=CC1)N2CCCOC2=O,0.6953,1.0716
Z3697813245,Cl.CCCC(O)C(N)CO,0.1666,1.088
Z239873164,NCC=1C=CC=CC1CN2CCC(O)CC2,0.1423,1.1382
Z1269185632,OC(=O)CCC=1C=C(F)C=C(F)C1F,1.1462,1.2982
Z7991049552,Cl.C(C1CCCCN1)N2C=NC=N2,0.2238,1.3382
Z733962860,CC1=CNC(=O)N1C=2C=CC(=CC2)C(=O)O,0.8856,1.3626
